Наименование / ФИО,Тип субъекта,Категория,ИНН,Основной вид деятельности,Регион,Район,Город,Населенный пункт,Нематериальные активы 2024,Нематериальные активы 2023,Основные средства 2024,Основные средства 2023,Доходные вложения 2024,Доходные вложения 2023,Доход 2024,Доход 2023,Амортизация НМА(приблизительно),Амортизация вся(приблизительно),ebita,ebitda
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К-РЕСУРС СЕВЕРО-ЗАПАД""",Юридическое лицо,Малое предприятие,7806352265,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,0,0,7554,6022,0,0,105677,318949,0,1532,105677,107209
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К-СЕРВИС""",Юридическое лицо,Малое предприятие,276930797,41.20 Строительство жилых и нежилых зданий,02 - Республика Башкортостан,,г Уфа,,1064,1262,54253,67756,55317,83721,-14,109336,0,0,-212,-42119
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К-СТРОЙ""",Юридическое лицо,Малое предприятие,2465162618,41.20 Строительство жилых и нежилых зданий,24 - Красноярский край,,г Красноярск,,0,0,7583,6514,8465,6814,-167,6219,0,2720,-167,2553
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К-СТРОЙ""",Юридическое лицо,Малое предприятие,7801311089,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,25362,4111,157560,171004,253349,276848,-1215,108839,21251,0,20036,-16907
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К-СТРОЙ""",Юридическое лицо,Малое предприятие,3918013055,41.20 Строительство жилых и нежилых зданий,71 - Тульская область,,г Тула,,68,3716,119857,115947,122791,122836,-1819,132812,0,217,-5467,-1602
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К-СТРОЙ""",Юридическое лицо,Малое предприятие,3257019182,41.20 Строительство жилых и нежилых зданий,32 - Брянская область,,г Брянск,,48,48,230919,122807,232575,124829,-106,24039,0,215858,-106,215752
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""К7""",Юридическое лицо,Малое предприятие,5047241949,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Химки,,0,0,12048,8057,0,0,6499,2411372,0,3991,6499,10490
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАВЖИЛСТРОЙ - 1""",Юридическое лицо,Малое предприятие,702722832,41.20 Строительство жилых и нежилых зданий,07 - Кабардино-Балкарская Республика,Зольский р-н,,с Малка,526,700,388708,208726,425996,212840,-5799,132568,0,392964,-5973,387165
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАВКАЗ ИНВЕСТ СТРОЙ""",Юридическое лицо,Малое предприятие,2301071520,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,Анапский р-н,,с Сукко,0,0,158,234,0,0,-59804,155825,0,0,-59804,-59880
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАДКОМ""",Юридическое лицо,Малое предприятие,2703094503,41.20 Строительство жилых и нежилых зданий,27 - Хабаровский край,,г Комсомольск-на-Амуре,,13592,18282,86767,59607,101539,80756,-2007,85284,0,43253,-6697,41246
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЗАНЬ - КАПИТАЛЬНОЕ СТРОИТЕЛЬСТВО""",Юридическое лицо,Малое предприятие,1657073776,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,г Казань,,3804,5857,24177,31206,66288,71876,-113,105539,0,0,-2166,-14783
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЗСТРОЙ""",Юридическое лицо,Среднее предприятие,1659181826,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,0,11727,0,0,-26432,885664,0,0,-26432,-38159
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЗЭНЕРГО-СТРОЙ""",Юридическое лицо,Малое предприятие,1658215511,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,г Казань,,0,0,29387,77331,0,0,-6355,93749,0,0,-6355,-54299
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЛИНИНГРАДСКОЕ МОНТАЖНОЕ УПРАВЛЕНИЕ СЕВЗАПЭНЕРГОМОНТАЖ""",Юридическое лицо,Малое предприятие,3906982224,41.20 Строительство жилых и нежилых зданий,39 - Калининградская область,,г Калининград,,0,0,3414,6102,4689,7220,-811,10556,0,0,-811,-6030
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЛИНКА ХАУС""",Юридическое лицо,Малое предприятие,7203362087,41.20 Строительство жилых и нежилых зданий,72 - Тюменская область,,г Тюмень,,311,477,41262,54023,47424,65115,-907,89494,0,0,-1073,-31525
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМА-СЕРВИС""",Юридическое лицо,Малое предприятие,1646031380,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),Елабужский р-н,г Елабуга,,3541,4586,10305,110326,14935,121668,-214,178572,0,0,-1259,-208013
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМАСТРОЙ""",Юридическое лицо,Среднее предприятие,5919012756,41.20 Строительство жилых и нежилых зданий,59 - Пермский край,,г Соликамск,,0,0,2173,3758,0,0,-179222,426,0,0,-179222,-180807
