Наименование / ФИО,Тип субъекта,Категория,ИНН,Основной вид деятельности,Регион,Район,Город,Населенный пункт,Нематериальные активы 2024,Нематериальные активы 2023,Основные средства 2024,Основные средства 2023,Доходные вложения 2024,Доходные вложения 2023,Доход 2024,Доход 2023,Амортизация НМА(приблизительно),Амортизация вся(приблизительно),ebita,ebitda
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПТИЦЕСТРОЙ""",Юридическое лицо,Малое предприятие,3917000617,41.20 Строительство жилых и нежилых зданий,39 - Калининградская область,Гурьевский р-н,,п Малое Исаково,382,382,9026,9142,13715,17880,-888,3387,0,0,-888,-5169
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПУСК""",Юридическое лицо,Малое предприятие,6674164790,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,,г Екатеринбург,,0,0,196173,50991,0,0,322069,633419,0,145182,322069,467251
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕГИОНСТРОЙ""",Юридическое лицо,Малое предприятие,317002279,41.20 Строительство жилых и нежилых зданий,03 - Республика Бурятия,,г Северобайкальск,,0,0,39284,34361,1559,1620,135456,339562,0,4862,135456,140318
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕМОНТ ТОННЕЛЕЙ И МОСТОВ""",Юридическое лицо,Малое предприятие,7714938300,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,9061,2650,0,0,-21629,375670,0,6411,-21629,-15218
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕМОНТНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ № 10""",Юридическое лицо,Малое предприятие,1659002192,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,г Казань,,0,0,17293,15494,0,0,-14035,61613,0,1799,-14035,-12236
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕМСТРОЙ-АЛЕКСС""",Юридическое лицо,Среднее предприятие,7713161050,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,429,0,235193,215215,0,0,76620,1305119,429,20407,77049,97027
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕМСТРОЙЦЕНТР""",Юридическое лицо,Малое предприятие,2536131136,41.20 Строительство жилых и нежилых зданий,25 - Приморский край,,г Владивосток,,0,0,369,28691,0,0,-48308,69982,0,0,-48308,-76630
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕНЕССАНС АКТИВ""",Юридическое лицо,Среднее предприятие,2543028394,41.20 Строительство жилых и нежилых зданий,25 - Приморский край,,г Владивосток,,0,0,2375,184,191731,172906,-32387,47654,0,21016,-32387,-11371
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РСУ КУРОРТА""",Юридическое лицо,Малое предприятие,2203003875,41.20 Строительство жилых и нежилых зданий,22 - Алтайский край,,г Белокуриха,,0,0,31738,5003,24772,10381,17037,154804,0,41126,17037,58163
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССТРОЙКОМПЛЕКТ""",Юридическое лицо,Малое предприятие,9701187346,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,124719,3326,0,0,9028,347418,0,121393,9028,130421
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САТУРН""",Юридическое лицо,Малое предприятие,3207001905,41.20 Строительство жилых и нежилых зданий,32 - Брянская область,Брянский р-н,,с Супонево,23025,30055,0,0,62870,71581,-50795,69186,0,0,-57825,-66536
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СВС-ЭМ""",Юридическое лицо,Среднее предприятие,7728786311,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,93971,63037,0,0,32399,237814,0,30934,32399,63333
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВЕРЭКСКАВАЦИЯ""",Юридическое лицо,Малое предприятие,8300003864,41.20 Строительство жилых и нежилых зданий,83 - Ненецкий автономный округ,Заполярный р-н,,рп Искателей,0,0,3279,4901,0,0,-9236,47945,0,0,-9236,-10858
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИБСТРОЙСЕРВИС""",Юридическое лицо,Среднее предприятие,7224001941,41.20 Строительство жилых и нежилых зданий,72 - Тюменская область,Тюменский р-н,,,337,337,322,1113,0,0,-800,1142,0,0,-800,-1591
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИГНАЛ""",Юридическое лицо,Малое предприятие,7708280326,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,2718,6488,0,0,1706,20225,0,0,1706,-2064
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИЛЕОН""",Юридическое лицо,Малое предприятие,7801070620,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,2198,0,220379,293684,251161,303788,-3504,375182,2198,0,-1306,-127238
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СМАРТ СИСТЕМС""",Юридическое лицо,Малое предприятие,9722013742,41.20 Строительство жилых и нежилых зданий,47 - Ленинградская область,Всеволожский р-н,г Всеволожск,,0,0,8792,10698,0,0,39245,1368820,0,0,39245,37339
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СМОЛСТРОМ-СЕРВИС""",Юридическое лицо,Среднее предприятие,6731028404,41.20 Строительство жилых и нежилых зданий,67 - Смоленская область,,г Смоленск,,0,0,820044,883611,18854,20891,761225,1862621,0,0,761225,695621
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СМП-1""",Юридическое лицо,Малое предприятие,5046048999,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,г Троицк,,183456,223192,145814,100053,401938,422049,-899,96051,0,0,-40635,-14985
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СМП-280""",Юридическое лицо,Среднее предприятие,7203047511,41.20 Строительство жилых и нежилых зданий,72 - Тюменская область,,г Тюмень,,0,0,16757,20884,115749,121444,39247,483423,0,0,39247,29425
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СМУ -25""",Юридическое лицо,Малое предприятие,2809000390,41.20 Строительство жилых и нежилых зданий,28 - Амурская область,,г Шимановск,,12198,12958,4190,28418,51720,65350,-2424,128580,0,0,-3184,-41042
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СМУ-ДОНАЭРОДОРСТРОЙ""",Юридическое лицо,Малое предприятие,6163068567,41.20 Строительство жилых и нежилых зданий,61 - Ростовская область,,г Ростов-на-Дону,,0,0,6400,42464,0,0,71159,1107443,0,0,71159,35095
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦГАЗМОНТАЖ-ПОДВОДСТРОЙ""",Юридическое лицо,Малое предприятие,6658521941,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,,г Екатеринбург,,0,0,0,126260,0,0,1181,1414947,0,0,1181,-125079
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННОЕ ОТДЕЛОЧНОЕ УПРАВЛЕНИЕ № 2""",Юридическое лицо,Малое предприятие,7702020219,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,12642,12726,25782,17442,98852,71709,-862,155649,0,35399,-946,34537
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННОЕ УПРАВЛЕНИЕ ИНЖЕНЕРНЫХ РАБОТ""",Юридическое лицо,Малое предприятие,7701969903,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,0,0,14716,26614,0,0,-38421,525812,0,0,-38421,-50319
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ВИКТОРИЯ ДЕВЕЛОПМЕНТ""",Юридическое лицо,Малое предприятие,5053033231,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г. Электросталь,,0,0,304583,304583,17317,18250,-12591,52772,0,0,-12591,-13524
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ЕЙСК-ЭКС-ПОРТ""",Юридическое лицо,Малое предприятие,2306000450,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,Ейский р-н,г Ейск,,0,0,64946,90765,0,0,-27552,58416,0,0,-27552,-53371
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ИНВЕСТИЦИОННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ - ""ЧЕСТР-ГРУПП""",Юридическое лицо,Среднее предприятие,2126003691,41.20 Строительство жилых и нежилых зданий,21 - Чувашская Республика - Чувашия,,г Чебоксары,,206,162,295773,230076,0,0,20918,2824138,44,65741,20962,86659
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ИНКОСТ""",Юридическое лицо,Среднее предприятие,2129003280,41.20 Строительство жилых и нежилых зданий,21 - Чувашская Республика - Чувашия,,г Чебоксары,,563,4,368319,159552,0,0,513221,873170,559,209326,513780,722547
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""КОМПЛЕКТ""",Юридическое лицо,Малое предприятие,3235001826,41.20 Строительство жилых и нежилых зданий,32 - Брянская область,,г Брянск,,0,0,688321,682628,0,0,128758,339843,0,5693,128758,134451
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""КОНТИНЕНТ""",Юридическое лицо,Малое предприятие,1215048572,41.20 Строительство жилых и нежилых зданий,12 - Республика Марий Эл,,г Йошкар-Ола,,0,0,67853,79616,0,0,356655,460004,0,0,356655,344892
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""КОШЕЛЕВ - ПРОЕКТ САМАРА""",Юридическое лицо,Малое предприятие,6312134360,41.20 Строительство жилых и нежилых зданий,50 - Московская область,Сергиев Посад г,,,410,410,3042074,2728155,0,0,163248,999841,0,313919,163248,477167
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""КОШЕЛЕВ-ПРОЕКТ""",Юридическое лицо,Малое предприятие,6312102986,41.20 Строительство жилых и нежилых зданий,50 - Московская область,Сергиев Посад г,,,0,0,24898,37381,0,0,-25748,900036,0,0,-25748,-38231
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""МЕЖХОЗЯЙСТВЕННАЯ СТРОИТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""ВУРНАРСКАЯ""",Юридическое лицо,Малое предприятие,2104000471,41.20 Строительство жилых и нежилых зданий,21 - Чувашская Республика - Чувашия,Вурнарский р-н,,пгт Вурнары,0,0,1623,6081,0,0,31812,101087,0,0,31812,27354
